date	calories	gsr	heart-rate	skin-temp	steps
2015-02-03 08:45Z	1.2	0.0466419	51	93.2	0
2015-02-03 08:46Z	1.1	0.0586808	52	93.2	0
2015-02-03 08:47Z	1.2	0.0584594	51	93.2	0
2015-02-03 08:48Z	1.2	0.0544704	51	93.2	0
2015-02-03 08:49Z	1.1	0.0472522	51	93.2	0
2015-02-03 08:50Z	1.1	0.0445033	51	93.2	0
2015-02-03 08:51Z	1.2	0.0401009	52	93.2	0
2015-02-03 08:52Z	1.1	0.0371357	51	93.2	0
2015-02-03 08:53Z	1.2	0.0319848	51	93.2	0
2015-02-03 08:54Z	1.2	0.0308342	51	93.2	0
2015-02-03 08:55Z	1.1	0.0278242	52	93.2	0
2015-02-03 08:56Z	1.2	0.0257423	51	93.2	0
2015-02-03 08:57Z	1.1	0.0244016	51	93.2	0
2015-02-03 08:58Z	1.2	0.0244256	51	93.2	0
2015-02-03 08:59Z	1.1	0.023545	51	93.2	0
2015-02-03 09:00Z	1.2	0.0252719	51	93.2	0
2015-02-03 09:01Z	1.1	0.0255846	51	93.2	0
2015-02-03 09:02Z	1.2	0.0241589	51	93.2	0
2015-02-03 09:03Z	1.2	0.0217883	51	93.2	0
2015-02-03 09:04Z	1.1	0.0212526	51	93.2	0
2015-02-03 09:05Z	1.4	0.0210244	52	93.2	0
2015-02-03 09:06Z	1.3	0.0159988	68	93.2	0
2015-02-03 09:07Z	1.6	0.0136697	47	93.0687	0
2015-02-03 09:08Z	1.5	0.0115626	55	92.9	0
2015-02-03 09:09Z	1.1	0.0100111	48	92.7875	0
2015-02-03 09:10Z	1.2	0.00937173	48	92.75	0
2015-02-03 09:11Z	1.1	0.00891861	49	92.75	0
2015-02-03 09:12Z	1.2	0.00870948	48	92.7125	0
2015-02-03 09:13Z	1.2	0.00829453	49	92.525	0
2015-02-03 09:14Z	1.1	0.00831917	48	92.525	0
2015-02-03 09:15Z	1.2	0.00804373	47	92.525	0
2015-02-03 09:16Z	1.1	0.00775668	49	92.525	0
2015-02-03 09:17Z	1.2	0.007538	48	92.525	0
2015-02-03 09:18Z	1.1	0.00757554	48	92.525	0
2015-02-03 09:19Z	1.2	0.00746971	48	92.525	0
2015-02-03 09:20Z	1.1	0.0077154	48	92.525	0
2015-02-03 09:21Z	1.2	0.00736175	49	92.45	0
2015-02-03 09:22Z	1.2	0.00737313	49	92.3938	0
2015-02-03 09:23Z	1.2	0.00788846	49	92.3	0
2015-02-03 09:24Z	1.2	0.0080398	51	92.3	0
2015-02-03 09:25Z	1.2	0.00783357	48	92.3	0
2015-02-03 09:26Z	1.4	0.00853654	58	92.3	0
2015-02-03 09:27Z	1.2	0.0086548	46	92.3	0
2015-02-03 09:28Z	1.1	0.00847871	49	92.3	0
2015-02-03 09:29Z	1.2	0.00859241	48	92.3	0
2015-02-03 09:30Z	1.2	0.00853591	48	92.3	0
2015-02-03 09:31Z	1.1	0.00881748	49	92.3	0
